"time","latitude","longitude","haul_no","station","catch","common_name","station_bottom_depth","area","strata","tdr_depth","depth_strata","bottom_depth","year","month"
"1990-05-14T03:52:00Z","36.8467","-121.9833",3,119,5,"ROCKFISH, TOTAL YOY","91","Monterey Bay Inside","C","NaN",2,91,1990,5
"1990-05-14T05:20:00Z","36.7667","-121.87",4,114,3,"ROCKFISH, TOTAL YOY","73","Monterey Bay Inside","C","NaN",2,73,1990,5
"1990-05-14T07:07:00Z","36.74","-121.9817",5,116,6,"ROCKFISH, TOTAL YOY","287","Monterey Bay Inside","C","NaN",2,400,1990,5
"1990-05-14T08:28:00Z","36.7083","-121.9133",6,115,1,"ROCKFISH, TOTAL YOY","91","Monterey Bay Inside","C","NaN",2,85,1990,5
"1990-05-14T11:24:00Z","36.655","-121.9467",8,112,5,"ROCKFISH, TOTAL YOY","73","Monterey Bay Inside","C","NaN",2,80,1990,5
"1990-05-16T04:35:00Z","36.585","-122.165",13,110,5246,"ROCKFISH, TOTAL YOY","2304","Monterey Bay Outside","C","NaN",2,2322,1990,5
"1990-05-16T06:38:00Z","36.585","-122.035",15,109,16,"ROCKFISH, TOTAL YOY","608","Monterey Bay Outside","C","NaN",2,530,1990,5
"1990-05-16T08:51:00Z","36.6467","-122.0567",16,113,3,"ROCKFISH, TOTAL YOY","900","Monterey Bay Outside","C","NaN",2,914,1990,5
"1990-05-16T10:04:00Z","36.7033","-122.1133",17,117,0,"ROCKFISH, TOTAL YOY","1920","Monterey Bay Outside","C","NaN",2,1920,1990,5
"1990-05-17T05:06:00Z","36.985","-122.2933",23,123,22,"ROCKFISH, TOTAL YOY","82","Davenport","C","NaN",2,76,1990,5
"1990-05-17T06:44:00Z","36.9767","-122.37",24,124,4,"ROCKFISH, TOTAL YOY","128","Davenport","C","NaN",2,117,1990,5
"1990-05-17T08:46:00Z","36.9667","-122.4417",26,125,22,"ROCKFISH, TOTAL YOY","446","Davenport","C","NaN",2,457,1990,5
"1990-05-17T11:40:00Z","36.9717","-122.5883",28,126,57,"ROCKFISH, TOTAL YOY","432","Davenport","C","NaN",2,422,1990,5
"1990-05-18T05:21:00Z","37.27","-122.5617",32,131,37,"ROCKFISH, TOTAL YOY","82","Pescadero","C","NaN",2,84,1990,5
"1990-05-18T07:15:00Z","37.2683","-122.6483",33,132,7,"ROCKFISH, TOTAL YOY","95","Pescadero","C","NaN",2,95,1990,5
"1990-05-18T08:59:00Z","37.2583","-122.79",34,133,3,"ROCKFISH, TOTAL YOY","184","Pescadero","C","NaN",2,164,1990,5
"1990-05-18T11:44:00Z","37.2817","-122.9883",35,134,4,"ROCKFISH, TOTAL YOY","518","Pescadero","C","NaN",2,565,1990,5
